time,phonons
3.6206757399900956e-06,"[0.9992108918351876, 0.0007891056412717993, 2.2703907859650796e-09, 3.212077963809527e-12]"
3.644589779616236e-06,"[0.9992008064366392, 0.0007991917584269146, 1.5499726530552747e-09, 3.325813218678689e-12]"
3.6682603822767936e-06,"[0.9991906485901962, 0.0008093499918272001, 1.1614269515752696e-09, 3.375591601592762e-12]"
3.6923047607634936e-06,"[0.9991798486670963, 0.0008201489381131125, 2.136378363557917e-09, 3.4492694162858e-12]"
3.716321314416526e-06,"[0.9991693025270191, 0.0008306950824610576, 2.1302051540813124e-09, 3.5829642908648237e-12]"
3.7398140874041712e-06,"[0.9991591930984391, 0.0008408054405865714, 1.1991447514967175e-09, 3.6669107837701015e-12]"
3.763894923241417e-06,"[0.9991483346945957, 0.0008516633552796753, 1.6864298856228978e-09, 3.716835954183309e-12]"
3.7880348492087365e-06,"[0.999137305988676, 0.0008626912674426985, 2.4782063777371733e-09, 3.838803787844613e-12]"
3.8119201527719656e-06,"[0.9991267946406878, 0.0008732034422358751, 1.6495955796322768e-09, 3.9663914347617115e-12]"
3.835645269470834e-06,"[0.9991161487408903, 0.0008838497006042865, 1.2893964528738002e-09, 4.021656184268099e-12]"
3.859673038896772e-06,"[0.9991049021595638, 0.0008950952050813927, 2.3643823071629903e-09, 4.1082247137129416e-12]"
3.883707978844385e-06,"[0.9990939177381101, 0.0009060797077951071, 2.281187902770401e-09, 4.260563174947565e-12]"
3.907193287453071e-06,"[0.9990833650010086, 0.0009166334370983382, 1.287467387724505e-09, 4.352861337771715e-12]"
3.931297867158907e-06,"[0.9990720268493808, 0.0009279709884862389, 1.8858171525948676e-09, 4.410632956002896e-12]"
3.955439536002468e-06,"[0.9990605612765139, 0.000939435754548029, 2.6906216279575666e-09, 4.551651076183101e-12]"
3.979297361761518e-06,"[0.9990496271066525, 0.0009503708670277563, 1.7462015506961561e-09, 4.6936248713323465e-12]"
4.003081176122886e-06,"[0.9990384908943516, 0.0009615073936670242, 1.430191119901333e-09, 4.7546433756068856e-12]"
4.027074923695658e-06,"[0.9990268114484577, 0.0009731856630091655, 2.6048886162952588e-09, 4.855832115131048e-12]"
4.051120486939935e-06,"[0.999015395620178, 0.0009846016645882114, 2.429627241345384e-09, 5.0281632325087745e-12]"
4.074612683668587e-06,"[0.9990043948106943, 0.0009956035224925946, 1.3796754229559024e-09, 5.128892747954506e-12]"
4.0987372932964885e-06,"[0.9989925814199047, 0.001007416189056822, 2.10198674095548e-09, 5.195619166730742e-12]"
4.122867726588961e-06,"[0.9989806903134423, 0.001019306489198126, 2.9062944611821783e-09, 5.35759208019176e-12]"
4.146699795132588e-06,"[0.9989693359030487, 0.0010306619635788545, 1.8405078411309157e-09, 5.514423232944405e-12]"
4.170542304728204e-06,"[0.9989577097011373, 0.0010422884197236622, 1.5845579470779114e-09, 5.581531330684106e-12]"
4.194474996714615e-06,"[0.9989456173900657, 0.0010543794575600825, 2.855965102703749e-09, 5.699033545467026e-12]"
4.218528525890712e-06,"[0.998933774317709, 0.0010662228079042048, 2.5759886192317882e-09, 5.892683657460552e-12]"
4.242012058750752e-06,"[0.9989223351459677, 0.0010776630765323202, 1.477566788321595e-09, 6.00190859837231e-12]"
4.2661511137341945e-06,"[0.9989100537483188, 0.0010899436181146345, 2.331698965694294e-09, 6.078709052821987e-12]"
4.290261322102614e-06,"[0.9988977463042812, 0.00110225026709017, 3.124739752788944e-09, 6.263384641568062e-12]"
4.3140698008906726e-06,"[0.9988859735824764, 0.0011140241762566964, 1.9355786442974024e-09, 6.435666058671906e-12]"
4.3379713701009705e-06,"[0.9988738592020319, 0.0011261387392351465, 1.751281733716783e-09, 6.509352986279543e-12]"
4.361811970645495e-06,"[0.9988613777993746, 0.0011386187767960605, 3.1145945804865024e-09, 6.644597509668069e-12]"
4.385890615076958e-06,"[0.9988491007513731, 0.0011508962151737846, 2.722188343338552e-09, 6.861040544600405e-12]"
4.40936960905878e-06,"[0.9988372244750686, 0.0011627736301701023, 1.5819557481758325e-09, 6.979035605305741e-12]"
4.433518072294638e-06,"[0.9988244828942565, 0.0011755142177657053, 2.5732196663545666e-09, 7.067049083902098e-12]"
4.457603143137871e-06,"[0.998811766277914, 0.0011882300594859014, 3.3458145539116625e-09, 7.276127290352819e-12]"
4.48138909311207e-06,"[0.9987995777920166, 0.0012004198565625564, 2.032834687584669e-09, 7.464506905420224e-12]"
4.505335171061167e-06,"[0.9987869858118937, 0.0012130119389014375, 1.928817870271723e-09, 7.545290568267005e-12]"
4.529051039581842e-06,"[0.9987741414771255, 0.0012258548218673213, 3.378898867045324e-09, 7.699434039273858e-12]"
4.553140096689736e-06,"[0.99876143886117, 0.0012385579417611634, 2.8728989241068595e-09, 7.93996743327659e-12]"
4.576620171236195e-06,"[0.9987491270733297, 0.001250870907430174, 1.6935190917560536e-09, 8.06739620037942e-12]"
4.600773446196085e-06,"[0.9987359343856742, 0.0012640624654055698, 2.821230801873024e-09, 8.16755338321293e-12]"
4.624834839538937e-06,"[0.9987228114210838, 0.0012771846781650385, 3.5710254776789493e-09, 8.402525784543061e-12]"
4.648600189236993e-06,"[0.9987102093477065, 0.0012897881846570956, 2.136106075407373e-09, 8.608000896985319e-12]"
4.672572527286778e-06,"[0.9986971549294632, 0.0013028426242031783, 2.112976704756044e-09, 8.696484100313152e-12]"
4.696145496057517e-06,"[0.998683967137938, 0.0013160288802745454, 3.646777893552617e-09, 8.870277328620474e-12]"
4.720235004712215e-06,"[0.998670844996311, 0.0013291516339329161, 3.0326590308193726e-09, 9.136353204219932e-12]"
4.74372020532971e-06,"[0.9986581010443284, 0.001341896805193748, 1.8118163322014498e-09, 9.274247630719763e-12]"
4.767875283706402e-06,"[0.9986444662527457, 0.0013555303355961734, 3.071013880717982e-09, 9.38718876177263e-12]"
4.791918946293687e-06,"[0.9986309363216004, 0.0013690595330518977, 3.802652749518474e-09, 9.649388507615475e-12]"
4.8156670485982e-06,"[0.9986179223918439, 0.0013820750153685471, 2.2482807932139296e-09, 9.873360969769402e-12]"
4.839651090617753e-06,"[0.9986044206981308, 0.0013955766558387255, 2.2996806918318813e-09, 9.97018415843634e-12]"
4.8632263431114575e-06,"[0.9985908158791775, 0.0014091798500838124, 3.9227130170469725e-09, 1.0165842206474151e-11]"
4.8873156111326765e-06,"[0.9985772781987003, 0.001422718258370361, 3.192789095246709e-09, 1.0458882225118106e-11]"
4.910808794669122e-06,"[0.9985641040908809, 0.0014358936214496356, 1.9359493403856495e-09, 1.0607565095191592e-11]"
4.934963377128724e-06,"[0.9985500334915092, 0.0014499628229353097, 3.331839213121456e-09, 1.0734438425955066e-11]"
4.958991214002834e-06,"[0.9985361003680548, 0.0014638952389488954, 4.037211320776833e-09, 1.102573136137335e-11]"
4.982721201751173e-06,"[0.9985226792334765, 0.0014773180468365995, 2.3620825609328252e-09, 1.1268882075951235e-11]"
5.006708347082272e-06,"[0.9985087395925297, 0.0014912575520621301, 2.4959494131119274e-09, 1.1374519334106582e-11]"
5.030357382764387e-06,"[0.9984946802926041, 0.001505315137747514, 4.208443994669104e-09, 1.1594684528645239e-11]"
5.054442272023495e-06,"[0.998480734261601, 0.0015192620269737298, 3.348081391356846e-09, 1.1915908157897967e-11]"
5.077946913507941e-06,"[0.9984671306234757, 0.001532866945011437, 2.066571655762602e-09, 1.207527498022957e-11]"
5.102097989539311e-06,"[0.9984526302779446, 0.0015473657465208783, 3.608584331482441e-09, 1.2217636966212386e-11]"
5.126111063580466e-06,"[0.9984382993198947, 0.001561696039467969, 4.271597796050709e-09, 1.254018424051015e-11]"
5.149819761587768e-06,"[0.9984244771865826, 0.0015755199685028424, 2.4740499446345903e-09, 1.2802673978995761e-11]"
5.17380122683116e-06,"[0.9984101082628576, 0.0015898886583264366, 2.706091761802408e-09, 1.2917553180996348e-11]"
5.1975023440794346e-06,"[0.9983956102523739, 0.0016043848711105723, 4.5019863137475864e-09, 1.3164338523513738e-11]"
5.221574493114202e-06,"[0.9983812651997632, 0.0016187309225404413, 3.5010078133373115e-09, 1.3514890029096517e-11]"
5.245094512398114e-06,"[0.9983672329937855, 0.0016327644235033067, 2.204405225585626e-09, 1.3685041172368087e-11]"
5.269239152541271e-06,"[0.9983523099210277, 0.0016476858005188809, 3.898125956921246e-09, 1.384437546922502e-11]"
5.2932410086422145e-06,"[0.9983375843230042, 0.0016624107883834818, 4.506170017023387e-09, 1.4200226002036375e-11]"
5.316927016183934e-06,"[0.9983233665103209, 0.0016766305189446647, 2.586461503262116e-09, 1.4482365201410464e-11]"
5.3408929750263855e-06,"[0.9983085791458421, 0.0016914175399870388, 2.928039577262969e-09, 1.4606979213640395e-11]"
5.364620874041611e-06,"[0.9982936615580811, 0.0017063332525066356, 4.801430706374188e-09, 1.4882160105161585e-11]"
5.38867286408026e-06,"[0.998278926120889, 0.0017210698340129782, 3.6549408276973376e-09, 1.526324031767333e-11]"
5.412211649106416e-06,"[0.9982644673329352, 0.0017355299258172737, 2.349450722823765e-09, 1.5444552889916887e-11]"
5.436347862946663e-06,"[0.9982491287893825, 0.0017508666200390397, 4.196748143064052e-09, 1.5622153445507528e-11]"
5.460343295415368e-06,"[0.9982340101419065, 0.0017659847198457572, 4.742271985873654e-09, 1.6013209939487272e-11]"
5.484007419853016e-06,"[0.9982194008412203, 0.0017805960591913389, 2.701775568283684e-09, 1.631559037250156e-11]"
